available_from,event_date,event_type,expected_channel,note,scope,severity,source
2014-08-15,2014-08-15,wedding_season,premium_spike,Autumn wedding season — gold jewelry demand surge,domestic_vietnam,high,rule_based_calendar
2014-09-01,2014-09-01,wedding_season,premium_spike,Autumn wedding season — gold jewelry demand surge,domestic_vietnam,high,rule_based_calendar
2014-10-01,2014-10-01,wedding_season,premium_spike,Autumn wedding season — gold jewelry demand surge,domestic_vietnam,high,rule_based_calendar
2015-04-15,2015-04-15,wedding_season,premium_spike,Spring wedding season — gold jewelry demand surge,domestic_vietnam,medium,rule_based_calendar
2015-05-01,2015-05-01,wedding_season,premium_spike,Spring wedding season — gold jewelry demand surge,domestic_vietnam,high,rule_based_calendar
2015-08-15,2015-08-15,wedding_season,premium_spike,Autumn wedding season — gold jewelry demand surge,domestic_vietnam,high,rule_based_calendar
2015-09-01,2015-09-01,wedding_season,premium_spike,Autumn wedding season — gold jewelry demand surge,domestic_vietnam,high,rule_based_calendar
2015-10-01,2015-10-01,wedding_season,premium_spike,Autumn wedding season — gold jewelry demand surge,domestic_vietnam,high,rule_based_calendar
2016-04-15,2016-04-15,wedding_season,premium_spike,Spring wedding season — gold jewelry demand surge,domestic_vietnam,medium,rule_based_calendar
2016-05-01,2016-05-01,wedding_season,premium_spike,Spring wedding season — gold jewelry demand surge,domestic_vietnam,high,rule_based_calendar
2016-08-15,2016-08-15,wedding_season,premium_spike,Autumn wedding season — gold jewelry demand surge,domestic_vietnam,high,rule_based_calendar
2016-09-01,2016-09-01,wedding_season,premium_spike,Autumn wedding season — gold jewelry demand surge,domestic_vietnam,high,rule_based_calendar
2016-10-01,2016-10-01,wedding_season,premium_spike,Autumn wedding season — gold jewelry demand surge,domestic_vietnam,high,rule_based_calendar
2017-04-15,2017-04-15,wedding_season,premium_spike,Spring wedding season — gold jewelry demand surge,domestic_vietnam,medium,rule_based_calendar
2017-05-01,2017-05-01,wedding_season,premium_spike,Spring wedding season — gold jewelry demand surge,domestic_vietnam,high,rule_based_calendar
2017-08-15,2017-08-15,wedding_season,premium_spike,Autumn wedding season — gold jewelry demand surge,domestic_vietnam,high,rule_based_calendar
2017-09-01,2017-09-01,wedding_season,premium_spike,Autumn wedding season — gold jewelry demand surge,domestic_vietnam,high,rule_based_calendar
2017-10-01,2017-10-01,wedding_season,premium_spike,Autumn wedding season — gold jewelry demand surge,domestic_vietnam,high,rule_based_calendar
2018-04-15,2018-04-15,wedding_season,premium_spike,Spring wedding season — gold jewelry demand surge,domestic_vietnam,medium,rule_based_calendar
2018-05-01,2018-05-01,wedding_season,premium_spike,Spring wedding season — gold jewelry demand surge,domestic_vietnam,high,rule_based_calendar
2018-08-15,2018-08-15,wedding_season,premium_spike,Autumn wedding season — gold jewelry demand surge,domestic_vietnam,high,rule_based_calendar
2018-09-01,2018-09-01,wedding_season,premium_spike,Autumn wedding season — gold jewelry demand surge,domestic_vietnam,high,rule_based_calendar
2018-10-01,2018-10-01,wedding_season,premium_spike,Autumn wedding season — gold jewelry demand surge,domestic_vietnam,high,rule_based_calendar
2019-04-15,2019-04-15,wedding_season,premium_spike,Spring wedding season — gold jewelry demand surge,domestic_vietnam,medium,rule_based_calendar
2019-05-01,2019-05-01,wedding_season,premium_spike,Spring wedding season — gold jewelry demand surge,domestic_vietnam,high,rule_based_calendar
2019-08-15,2019-08-15,wedding_season,premium_spike,Autumn wedding season — gold jewelry demand surge,domestic_vietnam,high,rule_based_calendar
2019-09-01,2019-09-01,wedding_season,premium_spike,Autumn wedding season — gold jewelry demand surge,domestic_vietnam,high,rule_based_calendar
2019-10-01,2019-10-01,wedding_season,premium_spike,Autumn wedding season — gold jewelry demand surge,domestic_vietnam,high,rule_based_calendar
2020-04-15,2020-04-15,wedding_season,premium_spike,Spring wedding season — gold jewelry demand surge,domestic_vietnam,medium,rule_based_calendar
2020-05-01,2020-05-01,wedding_season,premium_spike,Spring wedding season — gold jewelry demand surge,domestic_vietnam,high,rule_based_calendar
2020-08-15,2020-08-15,wedding_season,premium_spike,Autumn wedding season — gold jewelry demand surge,domestic_vietnam,high,rule_based_calendar
2020-09-01,2020-09-01,wedding_season,premium_spike,Autumn wedding season — gold jewelry demand surge,domestic_vietnam,high,rule_based_calendar
2020-10-01,2020-10-01,wedding_season,premium_spike,Autumn wedding season — gold jewelry demand surge,domestic_vietnam,high,rule_based_calendar
2021-04-15,2021-04-15,wedding_season,premium_spike,Spring wedding season — gold jewelry demand surge,domestic_vietnam,medium,rule_based_calendar
2021-05-01,2021-05-01,wedding_season,premium_spike,Spring wedding season — gold jewelry demand surge,domestic_vietnam,high,rule_based_calendar
2021-08-15,2021-08-15,wedding_season,premium_spike,Autumn wedding season — gold jewelry demand surge,domestic_vietnam,high,rule_based_calendar
2021-09-01,2021-09-01,wedding_season,premium_spike,Autumn wedding season — gold jewelry demand surge,domestic_vietnam,high,rule_based_calendar
2021-10-01,2021-10-01,wedding_season,premium_spike,Autumn wedding season — gold jewelry demand surge,domestic_vietnam,high,rule_based_calendar
2022-04-15,2022-04-15,wedding_season,premium_spike,Spring wedding season — gold jewelry demand surge,domestic_vietnam,medium,rule_based_calendar
2022-05-01,2022-05-01,wedding_season,premium_spike,Spring wedding season — gold jewelry demand surge,domestic_vietnam,high,rule_based_calendar
2022-08-15,2022-08-15,wedding_season,premium_spike,Autumn wedding season — gold jewelry demand surge,domestic_vietnam,high,rule_based_calendar
2022-09-01,2022-09-01,wedding_season,premium_spike,Autumn wedding season — gold jewelry demand surge,domestic_vietnam,high,rule_based_calendar
2022-10-01,2022-10-01,wedding_season,premium_spike,Autumn wedding season — gold jewelry demand surge,domestic_vietnam,high,rule_based_calendar
2023-04-15,2023-04-15,wedding_season,premium_spike,Spring wedding season — gold jewelry demand surge,domestic_vietnam,medium,rule_based_calendar
2023-05-01,2023-05-01,wedding_season,premium_spike,Spring wedding season — gold jewelry demand surge,domestic_vietnam,high,rule_based_calendar
2023-08-15,2023-08-15,wedding_season,premium_spike,Autumn wedding season — gold jewelry demand surge,domestic_vietnam,high,rule_based_calendar
2023-09-01,2023-09-01,wedding_season,premium_spike,Autumn wedding season — gold jewelry demand surge,domestic_vietnam,high,rule_based_calendar
2023-10-01,2023-10-01,wedding_season,premium_spike,Autumn wedding season — gold jewelry demand surge,domestic_vietnam,high,rule_based_calendar
2024-04-15,2024-04-15,wedding_season,premium_spike,Spring wedding season — gold jewelry demand surge,domestic_vietnam,medium,rule_based_calendar
2024-05-01,2024-05-01,wedding_season,premium_spike,Spring wedding season — gold jewelry demand surge,domestic_vietnam,high,rule_based_calendar
2024-08-15,2024-08-15,wedding_season,premium_spike,Autumn wedding season — gold jewelry demand surge,domestic_vietnam,high,rule_based_calendar
2024-09-01,2024-09-01,wedding_season,premium_spike,Autumn wedding season — gold jewelry demand surge,domestic_vietnam,high,rule_based_calendar
2024-10-01,2024-10-01,wedding_season,premium_spike,Autumn wedding season — gold jewelry demand surge,domestic_vietnam,high,rule_based_calendar
2025-04-15,2025-04-15,wedding_season,premium_spike,Spring wedding season — gold jewelry demand surge,domestic_vietnam,medium,rule_based_calendar
2025-05-01,2025-05-01,wedding_season,premium_spike,Spring wedding season — gold jewelry demand surge,domestic_vietnam,high,rule_based_calendar
2025-08-15,2025-08-15,wedding_season,premium_spike,Autumn wedding season — gold jewelry demand surge,domestic_vietnam,high,rule_based_calendar
2025-09-01,2025-09-01,wedding_season,premium_spike,Autumn wedding season — gold jewelry demand surge,domestic_vietnam,high,rule_based_calendar
2025-10-01,2025-10-01,wedding_season,premium_spike,Autumn wedding season — gold jewelry demand surge,domestic_vietnam,high,rule_based_calendar
2026-04-15,2026-04-15,wedding_season,premium_spike,Spring wedding season — gold jewelry demand surge,domestic_vietnam,medium,rule_based_calendar
2026-05-01,2026-05-01,wedding_season,premium_spike,Spring wedding season — gold jewelry demand surge,domestic_vietnam,high,rule_based_calendar
